age,sex,chd_i,chd_r,chd_f,chd_prev,chd_DR
0,male,0,0,0,0,0.079310861
1,male,0,0,0,0,0.079310861
2,male,0,0,0,0,0.079310861
3,male,0,0,0,0,0.079310861
4,male,0,0,0,0,0.079310861
5,male,0,0,0,0,0.079310861
6,male,0,0,0,0,0.079310861
7,male,0,0,0,0,0.079310861
8,male,0,0,0,0,0.079310861
9,male,0,0,0,0,0.079310861
10,male,0,0,0,0,0.079310861
11,male,0,0,0,0,0.079310861
12,male,0,0,0,0,0.079310861
13,male,0,0,0.002612359,0,0.079310861
14,male,0,0,0.007837077,0,0.079310861
15,male,0,0,0.015674155,0,0.079310861
16,male,0,0,0.026123592,0,0.079310861
17,male,0,0,0.039185387,0,0.079310861
18,male,0,0,0.054859542,0,0.079310861
19,male,1.9034e-05,0,0.068713865,3.4998e-05,0.079310861
20,male,3.3026e-05,0,0.078135995,5.8316e-05,0.079310861
21,male,5.2293e-05,0,0.083125933,9.5965e-05,0.079310861
22,male,7.6836e-05,0,0.083683679,0.000152176,0.079310861
23,male,0.000106655,0,0.079809234,0.000231391,0.079310861
24,male,0.000141749,0,0.071502596,0.000338783,0.079310861
25,male,0.000174148,0,0.060087913,0.000476802,0.079310861
26,male,0.000198574,0,0.049997378,0.000641781,0.079310861
27,male,0.000215027,0,0.04123099,0.000827338,0.079310861
28,male,0.000223509,0,0.033788749,0.001027208,0.079310861
29,male,0.000224018,0,0.027670656,0.001234889,0.079310861
30,male,0.000216555,0,0.02287671,0.001443361,0.079310861
31,male,0.000222563,0,0.019845446,0.001655121,0.079310861
32,male,0.000250015,0,0.017252718,0.001887331,0.079310861
33,male,0.00029891,0,0.015098525,0.002161852,0.079310861
34,male,0.000369249,0,0.013382867,0.002500513,0.079310861
35,male,0.000461031,0,0.012105744,0.002925144,0.079310861
36,male,0.000574257,0,0.011267157,0.003457504,0.079310861
37,male,0.00071886,0,0.011045026,0.004123662,0.079310861
38,male,0.000873398,0,0.011000817,0.004944074,0.079310861
39,male,0.00103787,0,0.011134529,0.005928692,0.079310861
40,male,0.001212276,0,0.011446163,0.007086883,0.079310861
41,male,0.001396616,0,0.011935718,0.008427213,0.079310861
42,male,0.00159089,0,0.012603195,0.009957216,0.079310861
43,male,0.00181583,0,0.013306088,0.011694131,0.079310861
44,male,0.002061501,0,0.013866476,0.013661587,0.079310861
45,male,0.002327903,0,0.01428436,0.015879111,0.087987489
46,male,0.002615037,0,0.014559738,0.018366456,0.087987489
47,male,0.002922901,0,0.014692612,0.021143732,0.087987489
48,male,0.003251497,0,0.014682981,0.024231574,0.087987489
49,male,0.003620793,0,0.01453286,0.027660918,0.087987489
50,male,0.004010058,0,0.014384756,0.03146118,0.087987489
51,male,0.004419291,0,0.014238667,0.035649527,0.087987489
52,male,0.004848493,0,0.014094594,0.040242535,0.087987489
53,male,0.005297664,0,0.013952536,0.045256118,0.087987489
54,male,0.005766803,0,0.013812495,0.050705454,0.087987489
55,male,0.006285953,0,0.013733693,0.05661738,0.088411604
56,male,0.006835145,0,0.013714114,0.063020516,0.088411604
57,male,0.007414379,0,0.013753759,0.069931577,0.088411604
58,male,0.008023654,0,0.013852628,0.077364691,0.088411604
59,male,0.008662971,0,0.014010721,0.085331151,0.088411604
60,male,0.00933233,0,0.014228037,0.093839141,0.088411604
61,male,0.01008298,0,0.014476198,0.102917546,0.088411604
62,male,0.01088488,0,0.01469598,0.11260546,0.088411604
63,male,0.011738028,0,0.014887383,0.122927897,0.088411604
64,male,0.012642427,0,0.015050406,0.13390717,0.088411604
65,male,0.013598074,0,0.015185051,0.145562703,0.086351402
66,male,0.014604971,0,0.015291316,0.157910945,0.086351402
67,male,0.015662111,0,0.015432202,0.17096047,0.086351402
68,male,0.016718245,0,0.015636087,0.184688195,0.086351402
69,male,0.017773372,0,0.015902971,0.199043905,0.086351402
70,male,0.018827493,0,0.016232854,0.213974507,0.086351402
71,male,0.019880607,0,0.016625737,0.229424383,0.086351402
72,male,0.020932715,0,0.017081619,0.24533549,0.086351402
73,male,0.02209391,0,0.017732951,0.261674924,0.086351402
74,male,0.023365199,0,0.018516734,0.278437723,0.086351402
75,male,0.024746582,0,0.019432968,0.295615344,0.083380395
76,male,0.026238059,0,0.020481652,0.313190066,0.083380395
77,male,0.02783963,0,0.021662788,0.33113555,0.083380395
78,male,0.029551295,0,0.022976375,0.349417435,0.083380395
79,male,0.03151523,0,0.024958373,0.367976714,0.083380395
80,male,0.033621342,0,0.027476331,0.386705661,0.083380395
81,male,0.035869631,0,0.030530251,0.405464039,0.083380395
82,male,0.038260097,0,0.034120131,0.42410565,0.083380395
83,male,0.040792739,0,0.038245972,0.442482196,0.083380395
84,male,0.043467558,0,0.042907773,0.460446775,0.083380395
85,male,0.046051837,0,0.048971071,0.477693318,0.071922904
86,male,0.048403398,0,0.055899903,0.493797575,0.071922904
87,male,0.050522243,0,0.063694271,0.508401161,0.071922904
88,male,0.05240837,0,0.072354173,0.521183453,0.071922904
89,male,0.05406178,0,0.081879611,0.531857331,0.071922904
90,male,0.055482473,0,0.092270583,0.540162768,0.071922904
91,male,0.056580388,0,0.104712177,0.545700972,0.071922904
92,male,0.057588241,0,0.118338856,0.548073737,0.071922904
93,male,0.058506033,0,0.133150622,0.547054928,0.071922904
94,male,0.059333764,0,0.149147473,0.542420683,0.071922904
95,male,0.060071433,0,0.166329411,0.533955244,0.071922904
96,male,0.060719041,0,0.184696434,0.521465866,0.071922904
97,male,0.061196938,0,0.201455385,0.505106536,0.071922904
98,male,0.061722625,0,0.219890231,0.485131978,0.071922904
99,male,0.062187885,0,0.236837116,0.46185394,0.071922904
100,male,0.062187885,0,0.236837116,0.46185394,0.071922904
101,male,0.062187885,0,0.236837116,0.46185394,0.071922904
102,male,0.062187885,0,0.236837116,0.46185394,0.071922904
103,male,0.062187885,0,0.236837116,0.46185394,0.071922904
104,male,0.062187885,0,0.236837116,0.46185394,0.071922904
105,male,0.062187885,0,0.236837116,0.46185394,0.071922904
106,male,0.062187885,0,0.236837116,0.46185394,0.071922904
107,male,0.062187885,0,0.236837116,0.46185394,0.071922904
108,male,0.062187885,0,0.236837116,0.46185394,0.071922904
109,male,0.062187885,0,0.236837116,0.46185394,0.071922904
110,male,0.062187885,0,0.236837116,0.46185394,0.071922904
0,female,0,0,0,0,0.069362652
1,female,0,0,0,0,0.069362652
2,female,0,0,0,0,0.069362652
3,female,0,0,0,0,0.069362652
4,female,0,0,0,0,0.069362652
5,female,0,0,0,0,0.069362652
6,female,0,0,0,0,0.069362652
7,female,0,0,0,0,0.069362652
8,female,0,0,0,0,0.069362652
9,female,0,0,0,0,0.069362652
10,female,0,0,0,0,0.069362652
11,female,0,0,0,0,0.069362652
12,female,0,0,0,0,0.069362652
13,female,0,0,0,0,0.069362652
14,female,0,0,0,0,0.069362652
15,female,0,0,0,0,0.069362652
16,female,0,0,0,0,0.069362652
17,female,0,0,0,0,0.069362652
18,female,0,0,0,0,0.069362652
19,female,6.129e-06,0,1.46e-07,3.065e-06,0.069362652
20,female,1.8387e-05,0,4.39e-07,1.5445e-05,0.069362652
21,female,3.6774e-05,0,8.77e-07,4.3518e-05,0.069362652
22,female,6.1291e-05,0,1.462e-06,9.3785e-05,0.069362652
23,female,9.1936e-05,0,2.193e-06,0.000172875,0.069362652
24,female,0.000128711,0,3.071e-06,0.000287547,0.069362652
25,female,0.000161494,0,7.4197e-05,0.000439613,0.069362652
26,female,0.000184157,0,0.000215427,0.000622663,0.069362652
