sex,age,excess_mortality,disability_rate
male,2,0.00000,0.00000
male,3,0.00000,0.00000
male,4,0.00000,0.00000
male,5,0.00000,0.00010
male,6,0.00000,0.00010
male,7,0.00000,0.00010
male,8,0.00000,0.00010
male,9,0.00000,0.00010
male,10,0.00000,0.00020
male,11,0.00000,0.00020
male,12,0.00000,0.00020
male,13,0.00000,0.00020
male,14,0.00000,0.00020
male,15,0.00030,0.00040
male,16,0.00030,0.00040
male,17,0.00030,0.00040
male,18,0.00030,0.00040
male,19,0.00030,0.00040
male,20,0.00030,0.00070
male,21,0.00030,0.00070
male,22,0.00030,0.00070
male,23,0.00030,0.00070
male,24,0.00030,0.00070
male,25,0.00020,0.00090
male,26,0.00020,0.00090
male,27,0.00020,0.00090
male,28,0.00020,0.00090
male,29,0.00020,0.00090
male,30,0.00010,0.00090
male,31,0.00010,0.00090
male,32,0.00010,0.00090
male,33,0.00010,0.00090
male,34,0.00010,0.00090
male,35,0.00020,0.00100
male,36,0.00020,0.00100
male,37,0.00020,0.00100
male,38,0.00020,0.00100
male,39,0.00020,0.00100
male,40,0.00020,0.00110
male,41,0.00020,0.00110
male,42,0.00020,0.00110
male,43,0.00020,0.00110
male,44,0.00020,0.00110
male,45,0.00010,0.00110
male,46,0.00010,0.00110
male,47,0.00010,0.00110
male,48,0.00010,0.00110
male,49,0.00010,0.00110
male,50,0.00020,0.00120
male,51,0.00020,0.00120
male,52,0.00020,0.00120
male,53,0.00020,0.00120
male,54,0.00020,0.00120
male,55,0.00010,0.00120
male,56,0.00010,0.00120
male,57,0.00010,0.00120
male,58,0.00010,0.00120
male,59,0.00010,0.00120
male,60,0.00010,0.00100
male,61,0.00010,0.00100
male,62,0.00010,0.00100
male,63,0.00010,0.00100
male,64,0.00010,0.00100
male,65,0.00010,0.00090
male,66,0.00010,0.00090
male,67,0.00010,0.00090
male,68,0.00010,0.00090
male,69,0.00010,0.00090
male,70,0.00010,0.00080
male,71,0.00010,0.00080
male,72,0.00010,0.00080
male,73,0.00010,0.00080
male,74,0.00010,0.00080
male,75,0.00020,0.00080
male,76,0.00020,0.00080
male,77,0.00020,0.00080
male,78,0.00020,0.00080
male,79,0.00020,0.00080
male,80,0.00030,0.00070
male,81,0.00030,0.00070
male,82,0.00030,0.00070
male,83,0.00030,0.00070
male,84,0.00030,0.00070
male,85,0.00030,0.00070
male,86,0.00030,0.00070
male,87,0.00030,0.00070
male,88,0.00030,0.00070
male,89,0.00030,0.00070
male,90,0.00030,0.00070
male,91,0.00030,0.00070
male,92,0.00030,0.00070
male,93,0.00030,0.00070
male,94,0.00030,0.00070
male,95,0.00030,0.00070
male,96,0.00030,0.00070
male,97,0.00030,0.00070
male,98,0.00030,0.00070
male,99,0.00030,0.00070
male,100,0.00030,0.00070
male,101,0.00030,0.00070
male,102,0.00030,0.00070
male,103,0.00030,0.00070
male,104,0.00030,0.00070
male,105,0.00030,0.00070
male,106,0.00030,0.00070
male,107,0.00030,0.00070
male,108,0.00030,0.00070
male,109,0.00030,0.00070
male,110,0.00030,0.00070
female,2,0.00000,0.00000
female,3,0.00000,0.00000
female,4,0.00000,0.00000
female,5,0.00000,0.00010
female,6,0.00000,0.00010
female,7,0.00000,0.00010
female,8,0.00000,0.00010
female,9,0.00000,0.00010
female,10,0.00000,0.00010
female,11,0.00000,0.00010
female,12,0.00000,0.00010
female,13,0.00000,0.00010
female,14,0.00000,0.00010
female,15,0.00010,0.00020
female,16,0.00010,0.00020
female,17,0.00010,0.00020
female,18,0.00010,0.00020
female,19,0.00010,0.00020
female,20,0.00010,0.00030
female,21,0.00010,0.00030
female,22,0.00010,0.00030
female,23,0.00010,0.00030
female,24,0.00010,0.00030
female,25,0.00000,0.00040
female,26,0.00000,0.00040
female,27,0.00000,0.00040
