sex,age,mortality_rate_per1,pop_no,pYLD_rate,chd_i,chd_r,chd_f,chd_prev,chd_DR,stroke_i,stroke_r,stroke_f,stroke_prev,stroke_DR,lungC_i,lungC_r,lungC_f,lungC_prev,lungC_DR,colorectC_i,colorectC_r,colorectC_f,colorectC_prev,colorectC_DR
male,0,0.00438962,,0.02065691,0,,0,0,0.079310861,0,,0,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,1,0.000340058,,0.026387239,0,,0,0,0.079310861,0,,0,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,2,0.00020002,114970,0.026387239,0,,0,0,0.079310861,0,,0.001514625,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,3,0.000170014,,0.026387239,0,,0,0,0.079310861,0,,0.006491248,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,4,0.00014001,,0.026387239,0,,0,0,0.079310861,0,,0.010818747,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,5,0.000110006,,0.033717302,0,,0,0,0.079310861,0,,0.01622812,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,6,9.00041E-05,,0.033717302,0,,0,0,0.079310861,0,,0.022719368,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,7,7.00025E-05,110470,0.033717302,0,,0,0,0.079310861,0,,0.029069353,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,8,6.00018E-05,,0.033717302,0,,0,0,0.079310861,0,,0.0341962,0,0.37304024,0,0,0,0,0.361730689,0,0,0,0,0.28020884
male,9,5.00013E-05,,0.033717302,0,,0,0,0.079310861,0,,0.03809991,0,0.37304024,0,0,0,0,0.361730689,0,0.000001,0.000001,0,0.28020884
male,10,6.00018E-05,,0.033941856,0,,0,0,0.079310861,0,,0.040780482,0,0.37304024,0,0,0,0,0.361730689,0,0.000001,0.000001,0,0.28020884
male,11,7.00025E-05,,0.033941856,0,,0,0,0.079310861,0,,0.042237916,0,0.37304024,0,0,0,0,0.361730689,0,0.000002,0.000002,0,0.28020884
male,12,0.000100005,114700,0.033941856,0,,0,0,0.079310861,0,,0.042472213,0,0.37304024,0,0,0,0,0.361730689,0,0.000003,0.000003,0,0.28020884
male,13,0.000150011,,0.033941856,0,,0.002612359,0,0.079310861,0,,0.041684136,0,0.37304024,0,0,0,0,0.361730689,0,0.000004,0.000004,0,0.28020884
male,14,0.000210022,,0.033941856,0,,0.007837077,0,0.079310861,0,,0.041096825,0,0.37304024,0,0,0,0,0.361730689,0,0.000005,0.000005,0,0.28020884
male,15,0.000290042,,0.06338618,0,,0.015674155,0,0.079310861,0,,0.040710278,0,0.37304024,0,0,0,0,0.361730689,0,0.000005,0.000005,0,0.28020884
male,16,0.000390076,,0.06338618,0,,0.026123592,0,0.079310861,0,,0.040524496,0,0.37304024,0,0,0,0,0.361730689,0,0.000006,0.000006,0,0.28020884
male,17,0.000520135,128580,0.06338618,0,,0.039185387,0,0.079310861,0,,0.040539478,0,0.37304024,0,0,0,0,0.361730689,0,0.000006,0.000006,0,0.28020884
male,18,0.000660218,,0.06338618,0,,0.054859542,0,0.079310861,0,,0.040755225,0,0.37304024,0,0,0,0,0.361730689,0,0.000006,0.000006,0,0.28020884
male,19,0.000790312,,0.06338618,0.000019034,,0.068713865,0.000034998,0.079310861,0,,0.041420713,0,0.37304024,0,0.000002,0.000008,0,0.361730689,0,0.000008,0.00001,0,0.28020884
male,20,0.000870379,,0.070213743,0.000033026,,0.078135995,0.000058316,0.079310861,0,,0.042335177,0,0.37304024,0,0.000006,0.000025,0,0.361730689,0,0.000011,0.000019,0,0.28020884
