sex,age,rate,pop_avg_5yr,pYLD_rate
male,0,0.0043896,,0.02065691
male,1,0.0003401,,0.026387239
male,2,0.0002000,114970,0.026387239
male,3,0.0001700,,0.026387239
male,4,0.0001400,,0.026387239
male,5,0.0001100,,0.033717302
male,6,0.0000900,,0.033717302
male,7,0.0000700,110470,0.033717302
male,8,0.0000600,,0.033717302
male,9,0.0000500,,0.033717302
male,10,0.0000600,,0.033941856
male,11,0.0000700,,0.033941856
male,12,0.0001000,114700,0.033941856
male,13,0.0001500,,0.033941856
male,14,0.0002100,,0.033941856
male,15,0.0002900,,0.06338618
male,16,0.0003901,,0.06338618
male,17,0.0005201,128580,0.06338618
male,18,0.0006602,,0.06338618
male,19,0.0007903,,0.06338618
male,20,0.0008704,,0.070213743
male,21,0.0008904,,0.070213743
male,22,0.0008504,137550,0.070213743
male,23,0.0007703,,0.070213743
male,24,0.0006902,,0.070213743
male,25,0.0006102,,0.080235828
male,26,0.0005602,,0.080235828
male,27,0.0005401,125330,0.080235828
male,28,0.0005401,,0.080235828
male,29,0.0005602,,0.080235828
male,30,0.0006002,,0.077857599
male,31,0.0006502,,0.077857599
male,32,0.0007002,111990,0.077857599
male,33,0.0007603,,0.077857599
male,34,0.0008103,,0.077857599
male,35,0.0008704,,0.083009429
male,36,0.0009304,,0.083009429
male,37,0.0009905,118830,0.083009429
male,38,0.0010506,,0.083009429
male,39,0.0011206,,0.083009429
male,40,0.0012007,,0.08563059
male,41,0.0012808,,0.08563059
male,42,0.0013709,130200,0.08563059
male,43,0.0014711,,0.08563059
male,44,0.0015812,,0.08563059
male,45,0.0017014,,0.095889103
male,46,0.0018417,,0.095889103
male,47,0.0019920,136060,0.095889103
male,48,0.0021523,,0.095889103
male,49,0.0023327,,0.095889103
male,50,0.0025332,,0.112153236
male,51,0.0027538,,0.112153236
male,52,0.0030045,129850,0.112153236
male,53,0.0032754,,0.112153236
male,54,0.0035764,,0.112153236
male,55,0.0039277,,0.130003784
male,56,0.0043093,,0.130003784
male,57,0.0047412,114260,0.130003784
male,58,0.0052236,,0.130003784
male,59,0.0057666,,0.130003784
male,60,0.0063702,,0.158232673
male,61,0.0070347,,0.158232673
male,62,0.0077701,107210,0.158232673
male,63,0.0085767,,0.158232673
male,64,0.0094646,,0.158232673
male,65,0.0104444,,0.188806657
male,66,0.0115059,,0.188806657
male,67,0.0126902,82080,0.188806657
male,68,0.0140279,,0.188806657
male,69,0.0155401,,0.188806657
male,70,0.0172682,,0.223367355
male,71,0.0192338,,0.223367355
male,72,0.0214790,65070,0.223367355
male,73,0.0240161,,0.223367355
male,74,0.0268985,,0.223367355
male,75,0.0301397,,0.260814925
male,76,0.0337843,,0.260814925
male,77,0.0378576,46690,0.260814925
male,78,0.0424796,,0.260814925
male,79,0.0477627,,0.260814925
male,80,0.0538334,,0.303574388
male,81,0.0607909,,0.303574388
male,82,0.0687715,34830,0.303574388
male,83,0.0778859,,0.303574388
male,84,0.0882631,,0.303574388
male,85,0.1000193,,0.357709846
male,86,0.1130567,,0.357709846
male,87,0.1272540,18110,0.357709846
male,88,0.1424626,,0.357709846
male,89,0.1585035,,0.357709846
male,90,0.1751871,,0.357709846
male,91,0.1925416,,0.357709846
male,92,0.2123025,5197.5,0.357709846
male,93,0.2348746,,0.357709846
male,94,0.2605339,,0.357709846
male,95,0.2886292,,0.357709846
male,96,0.3191865,,0.357709846
male,97,0.3522419,1212.75,0.357709846
male,98,0.3877529,,0.357709846
male,99,0.4256270,,0.357709846
male,100,0.4657248,,0.357709846
male,101,0.5078301,,0.357709846
male,102,0.5516129,433.125,0.357709846
male,103,0.5966559,,0.357709846
male,104,0.6423970,,0.357709846
male,105,0.6881596,,0.357709846
male,106,0.6881596,,0.357709846
male,107,0.6881596,86.625,0.357709846
male,108,0.6881596,,0.357709846
male,109,0.6881596,,0.357709846
male,110,0.6881596,,0.357709846
female,0,0.0035864,,0.014824867
female,1,0.0003301,,0.022360727
female,2,0.0001900,108970,0.022360727
female,3,0.0001700,,0.022360727
female,4,0.0001400,,0.022360727
female,5,0.0001100,,0.026872624
female,6,0.0000800,,0.026872624
female,7,0.0000600,105600,0.026872624
female,8,0.0000500,,0.026872624
female,9,0.0000500,,0.026872624
female,10,0.0000600,,0.030020375
female,11,0.0000700,,0.030020375
female,12,0.0000900,109210,0.030020375
female,13,0.0001200,,0.030020375
female,14,0.0001400,,0.030020375
female,15,0.0001700,,0.076339753
