age,CHD,Stroke,COPD,Lung cancer,Mouth and oropharynx cancer,Oesophagus cancer,Pancreas cancer,Bladder cancer,Kidney cancer,Stomach cancer,Type 2 diabetes,LiverCancer,ColorectalCancer,CervicalCancer,EndometrialCancer,Melanoma,ThyroidCancer
0,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,
20,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
21,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
22,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
23,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
24,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
25,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
26,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
27,0.24228,0.31947,0.20333,0.15637,0.0493028,0.0537424,0.09279,0.05417,0.0385957,0.0264112,0.024811,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667,0.052502016666667
