sex,age,stroke_no,stroke_yes,stroke_post_0,stroke_post_1,stroke_post_2,stroke_post_3,stroke_post_4,stroke_post_5,stroke_post_6,stroke_post_7,stroke_post_8,stroke_post_9,stroke_post_10,stroke_post_11,stroke_post_12,stroke_post_13,stroke_post_14,stroke_post_15,stroke_post_16,stroke_post_17,stroke_post_18,stroke_post_19,stroke_post_20,stroke_post_21
male,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
male,30,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,31,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,32,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,33,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,34,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,35,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,36,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,37,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,38,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,39,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,40,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,41,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,42,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
male,43,1,2.52,2.52,2.10433167706487,1.80233450853217,1.5829232982726,1.42351359446156,1.30769702502072,1.22355234978224,1.16241838246501,1.1180024767722,1.08573281123135,1.06228780210961,1.04525420589762,1.03287871914024,1.02388750726834,1.01735508615957,1.01260906013435,1.0091609108713,1.00665571320128,1.00483560192213,1.00351322919755,1.00255248045503,1
