sex,age,rate,pop_avg_5yr
male,0,0.0043896,
male,1,0.0003401,
male,2,0.0002,114970
male,3,0.00017,
male,4,0.00014,
male,5,0.00011,
male,6,0.00009,
male,7,0.00007,110470
male,8,0.00006,
male,9,0.00005,
male,10,0.00006,
male,11,0.00007,
male,12,0.0001,114700
male,13,0.00015,
male,14,0.00021,
male,15,0.00029,
male,16,0.0003901,
male,17,0.0005201,128580
male,18,0.0006602,
male,19,0.0007903,
male,20,0.0008704,
male,21,0.0008904,
male,22,0.0008504,137550
male,23,0.0007703,
male,24,0.0006902,
male,25,0.0006102,
male,26,0.0005602,
male,27,0.0005401,125330
male,28,0.0005401,
male,29,0.0005602,
male,30,0.0006002,
male,31,0.0006502,
male,32,0.0007002,111990
male,33,0.0007603,
male,34,0.0008103,
male,35,0.0008704,
male,36,0.0009304,
male,37,0.0009905,118830
male,38,0.0010506,
male,39,0.0011206,
male,40,0.0012007,
male,41,0.0012808,
male,42,0.0013709,130200
male,43,0.0014711,
male,44,0.0015812,
male,45,0.0017014,
male,46,0.0018417,
male,47,0.001992,136060
male,48,0.0021523,
male,49,0.0023327,
male,50,0.0025332,
male,51,0.0027538,
male,52,0.0030045,129850
male,53,0.0032754,
male,54,0.0035764,
male,55,0.0039277,
male,56,0.0043093,
male,57,0.0047412,114260
male,58,0.0052236,
male,59,0.0057666,
male,60,0.0063702,
male,61,0.0070347,
male,62,0.0077701,107210
male,63,0.0085767,
male,64,0.0094646,
male,65,0.0104444,
male,66,0.0115059,
male,67,0.0126902,82080
male,68,0.0140279,
male,69,0.0155401,
male,70,0.0172682,
male,71,0.0192338,
male,72,0.021479,65070
male,73,0.0240161,
male,74,0.0268985,
male,75,0.0301397,
male,76,0.0337843,
male,77,0.0378576,46690
male,78,0.0424796,
male,79,0.0477627,
male,80,0.0538334,
male,81,0.0607909,
male,82,0.0687715,34830
male,83,0.0778859,
male,84,0.0882631,
male,85,0.1000193,
male,86,0.1130567,
male,87,0.127254,18110
male,88,0.1424626,
male,89,0.1585035,
male,90,0.1751871,
male,91,0.1925416,
male,92,0.2123025,5197.5
male,93,0.2348746,
male,94,0.2605339,
male,95,0.2886292,
male,96,0.3191865,
male,97,0.3522419,1212.75
male,98,0.3877529,
male,99,0.425627,
male,100,0.4657248,
male,101,0.5078301,
male,102,0.5516129,433.125
male,103,0.5966559,
male,104,0.642397,
male,105,0.6881596,
male,106,0.6881596,
male,107,0.6881596,86.625
male,108,0.6881596,
male,109,0.6881596,
male,110,0.6881596,
female,0,0.0035864,
female,1,0.0003301,
female,2,0.00019,108970
female,3,0.00017,
female,4,0.00014,
female,5,0.00011,
female,6,0.00008,
female,7,0.00006,105600
female,8,0.00005,
female,9,0.00005,
female,10,0.00006,
female,11,0.00007,
female,12,0.00009,109210
female,13,0.00012,
female,14,0.00014,
female,15,0.00017,
female,16,0.0002,
female,17,0.00023,121440
female,18,0.00026,
female,19,0.00028,
female,20,0.0003,
female,21,0.0003201,
female,22,0.0003201,127360
female,23,0.0003201,
female,24,0.0003201,
female,25,0.0003201,
female,26,0.0003201,
female,27,0.0003301,124150
female,28,0.0003301,
female,29,0.0003501,
female,30,0.0003701,
female,31,0.0003901,
female,32,0.0004201,119400
female,33,0.0004601,
female,34,0.0004901,
female,35,0.0005401,
female,36,0.0005902,
female,37,0.0006402,129980
female,38,0.0006902,
female,39,0.0007503,
female,40,0.0008203,
female,41,0.0008904,
female,42,0.0009705,141760
female,43,0.0010706,
female,44,0.0011707,
female,45,0.0012808,
female,46,0.001391,
female,47,0.0015011,144230
female,48,0.0016113,
female,49,0.0017115,
female,50,0.0018116,
female,51,0.0019218,
female,52,0.0020421,135320
female,53,0.0021824,
female,54,0.0023628,
female,55,0.0025633,
female,56,0.0028039,
female,57,0.0030647,118100
female,58,0.0033556,
female,59,0.0036868,
female,60,0.0040482,
female,61,0.0044599,
female,62,0.0049221,110670
female,63,0.0054649,
female,64,0.0060784,
female,65,0.0067628,
female,66,0.0075283,
female,67,0.0083649,85640
female,68,0.0092729,
female,69,0.0102423,
female,70,0.0113138,
female,71,0.012518,
female,72,0.0138961,70530
female,73,0.015469,
female,74,0.0172784,
female,75,0.0193663,
female,76,0.021806,
female,77,0.0246411,53600
female,78,0.0279263,
female,79,0.0317384,
female,80,0.036218,
female,81,0.0415306,
female,82,0.0478361,44840
female,83,0.0553013,
female,84,0.0640693,
female,85,0.074131,
female,86,0.0854816,
female,87,0.0977231,30000
female,88,0.1111998,
female,89,0.1259488,
female,90,0.1423012,
female,91,0.1606501,
female,92,0.181378,12420
female,93,0.2048862,
female,94,0.231453,
female,95,0.2604561,
female,96,0.2919445,
female,97,0.3259379,2898
female,98,0.36242,
female,99,0.4013137,
female,100,0.442513,
female,101,0.4857916,
female,102,0.5308583,1035
female,103,0.5773038,
female,104,0.6246478,
female,105,0.6721884,
female,106,0.6721884,
female,107,0.6721884,207
female,108,0.6721884,
female,109,0.6721884,
female,110,0.6721884,
