age,sex,year,LEadj
0,male,2010,88.15928738498498
0,female,2010,86.9313478555258
1,male,2010,87.18208904645452
1,female,2010,85.94793617446213
2,male,2010,86.20864182015376
2,female,2010,84.9704582341947
3,male,2010,85.23512641069439
3,female,2010,83.992911828103
4,male,2010,84.26159639974513
4,female,2010,83.01535564737819
5,male,2010,83.28805178686792
5,female,2010,82.03778480433708
6,male,2010,82.3218222314934
6,female,2010,81.06471094739915
7,male,2010,81.35558301425814
7,female,2010,80.09162249493723
8,male,2010,80.38933413496892
8,female,2010,79.11852431188271
9,male,2010,79.42308042458023
9,female,2010,78.14542126345893
10,male,2010,78.45682188304374
10,female,2010,77.17231821503513
11,male,2010,77.49079271991864
11,female,2010,76.20236768855092
12,male,2010,76.52476838677028
12,female,2010,75.23242201164959
13,male,2010,75.5587585432624
13,female,2010,74.26248603376857
14,male,2010,74.59277284818941
14,female,2010,73.29256460405428
15,male,2010,73.62681612964448
15,female,2010,72.32265287287535
16,male,2010,72.69033809895798
16,female,2010,71.39907113032329
17,male,2010,71.75390692985519
17,female,2010,70.475503240112
18,male,2010,70.8175366129506
18,female,2010,69.55194920182595
19,male,2010,69.88123186713598
19,female,2010,68.62840901504954
20,male,2010,68.94498800387929
20,female,2010,67.7048780623821
21,male,2010,68.01560621380881
21,female,2010,66.79826425445225
22,male,2010,67.08623371341864
22,female,2010,65.89165955653291
23,male,2010,66.15684263348203
23,female,2010,64.98505485861357
24,male,2010,65.22741434576933
24,female,2010,64.07845016069423
25,male,2010,64.29794884730012
25,female,2010,63.17184546277489
26,male,2010,63.37846520974923
26,female,2010,62.278199374830045
27,male,2010,62.458958591546256
27,female,2010,61.3845532868852
28,male,2010,61.539442734797326
28,female,2010,60.49091166643333
29,male,2010,60.61992687804841
29,female,2010,59.59727004598143
30,male,2010,59.70042025984542
30,female,2010,58.70363736038146
31,male,2010,58.77855451074843
31,female,2010,57.81531072022433
32,male,2010,57.85671180080286
32,female,2010,56.92699296160096
33,male,2010,56.93489212885682
33,female,2010,56.03868852494514
34,male,2010,56.01310014706183
34,female,2010,55.15040185029104
35,male,2010,55.09133120073
35,female,2010,54.26212849667198
