popn sex bau_HALY.lower bau_HALY.upper HALY_gain.lower HALY_gain.upper HALY_pcnt.lower HALY_pcnt.upper delay tob_prev interv
All All 154791180 179169073 1152146 2286166 0.69 1.35 0 decreasing erad
maori All 25157185 29435421 432159 823375 1.58 2.99 0 decreasing erad
non-maori All 129633996 149733652 712963 1463447 0.51 1.03 0 decreasing erad
maori female 12795959 15041306 267972 506148 1.93 3.6 0 decreasing erad
non-maori female 65346812 76031857 320505 665399 0.45 0.93 0 decreasing erad
maori male 12361226 14394114 165155 317208 1.23 2.34 0 decreasing erad
non-maori male 64287184 73701795 392734 798699 0.57 1.14 0 decreasing erad
All All 154791180 179169073 142262 444979 0.08 0.26 0 decreasing tax
maori All 25157185 29435421 68732 212935 0.25 0.77 0 decreasing tax
non-maori All 129633996 149733652 73102 239278 0.05 0.17 0 decreasing tax
maori female 12795959 15041306 41394 128610 0.29 0.91 0 decreasing tax
non-maori female 65346812 76031857 32469 109731 0.05 0.15 0 decreasing tax
maori male 12361226 14394114 27443 84399 0.2 0.62 0 decreasing tax
non-maori male 64287184 73701795 40911 129438 0.06 0.19 0 decreasing tax
All All 154791180 179169073 191537 626052 0.11 0.37 0 decreasing tfg
maori All 25157185 29435421 105078 317455 0.38 1.15 0 decreasing tfg
non-maori All 129633996 149733652 86519 311440 0.06 0.22 0 decreasing tfg
maori female 12795959 15041306 60730 188901 0.43 1.33 0 decreasing tfg
non-maori female 65346812 76031857 37734 141395 0.05 0.2 0 decreasing tfg
maori male 12361226 14394114 44307 128802 0.33 0.95 0 decreasing tfg
non-maori male 64287184 73701795 48459 168960 0.07 0.24 0 decreasing tfg
All All 154791180 179169073 2679605 3613018 1.61 2.11 20 constant erad
maori All 25157185 29435421 889754 1215016 3.32 4.35 20 constant erad
non-maori All 129633996 149733652 1781517 2395957 1.28 1.68 20 constant erad
maori female 12795959 15041306 538690 739974 3.95 5.17 20 constant erad
non-maori female 65346812 76031857 825129 1130581 1.17 1.56 20 constant erad
maori male 12361226 14394114 349149 479223 2.64 3.51 20 constant erad
non-maori male 64287184 73701795 951450 1264699 1.38 1.8 20 constant erad
All All 154791180 179169073 403506 911019 0.24 0.54 20 constant tax
maori All 25157185 29435421 166723 391621 0.61 1.4 20 constant tax
non-maori All 129633996 149733652 234459 531140 0.17 0.37 20 constant tax
maori female 12795959 15041306 101089 235236 0.72 1.66 20 constant tax
non-maori female 65346812 76031857 111706 251918 0.16 0.35 20 constant tax
maori male 12361226 14394114 66051 156207 0.49 1.14 20 constant tax
non-maori male 64287184 73701795 123514 278973 0.18 0.4 20 constant tax
All All 154791180 179169073 892419 1457169 0.54 0.86 20 constant tfg
maori All 25157185 29435421 394891 628075 1.47 2.25 20 constant tfg
non-maori All 129633996 149733652 493369 830790 0.35 0.59 20 constant tfg
maori female 12795959 15041306 241152 372587 1.75 2.61 20 constant tfg
non-maori female 65346812 76031857 237562 396222 0.34 0.55 20 constant tfg
maori male 12361226 14394114 156505 254090 1.18 1.86 20 constant tfg
non-maori male 64287184 73701795 254863 434530 0.37 0.62 20 constant tfg
All All 154791180 179169073 1044120 1957475 0.62 1.16 20 decreasing erad
maori All 25157185 29435421 383017 695731 1.4 2.53 20 decreasing erad
non-maori All 129633996 149733652 659599 1260137 0.47 0.89 20 decreasing erad
maori female 12795959 15041306 228578 418157 1.63 2.97 20 decreasing erad
non-maori female 65346812 76031857 296074 573196 0.42 0.8 20 decreasing erad
maori male 12361226 14394114 154164 278871 1.15 2.06 20 decreasing erad
non-maori male 64287184 73701795 364734 685206 0.53 0.98 20 decreasing erad
All All 154791180 179169073 142510 423565 0.09 0.25 20 decreasing tax
maori All 25157185 29435421 67380 198867 0.25 0.72 20 decreasing tax
non-maori All 129633996 149733652 74589 228376 0.05 0.16 20 decreasing tax
maori female 12795959 15041306 39395 117545 0.28 0.83 20 decreasing tax
non-maori female 65346812 76031857 32250 103028 0.05 0.15 20 decreasing tax
maori male 12361226 14394114 28177 81611 0.21 0.6 20 decreasing tax
non-maori male 64287184 73701795 41830 124684 0.06 0.18 20 decreasing tax
All All 154791180 179169073 261356 682703 0.16 0.4 20 decreasing tfg
maori All 25157185 29435421 136826 325947 0.5 1.17 20 decreasing tfg
non-maori All 129633996 149733652 126162 358110 0.09 0.25 20 decreasing tfg
maori female 12795959 15041306 78793 190528 0.56 1.35 20 decreasing tfg
non-maori female 65346812 76031857 55332 163110 0.08 0.23 20 decreasing tfg
maori male 12361226 14394114 57696 135262 0.43 0.99 20 decreasing tfg
non-maori male 64287184 73701795 70963 194477 0.1 0.28 20 decreasing tfg
