popn sex bau_LY.lower bau_LY.upper LY_gain.lower LY_gain.upper LY_pcnt.lower LY_pcnt.upper delay tob_prev interv
All All 208133915 208133915 1056046 2130171 0.51 1.02 0 decreasing erad
maori All 35083302 35083302 454254 883051 1.29 2.52 0 decreasing erad
non-maori All 173050614 173050614 597791 1252328 0.35 0.72 0 decreasing erad
maori female 18040747 18040747 286663 556286 1.59 3.08 0 decreasing erad
non-maori female 88853910 88853910 267749 572614 0.3 0.64 0 decreasing erad
maori male 17042554 17042554 169239 329564 0.99 1.93 0 decreasing erad
non-maori male 84196704 84196704 330564 677641 0.39 0.8 0 decreasing erad
All All 208133915 208133915 131064 417120 0.06 0.2 0 decreasing tax
maori All 35083302 35083302 69130 224738 0.2 0.64 0 decreasing tax
non-maori All 173050614 173050614 58356 201103 0.03 0.12 0 decreasing tax
maori female 18040747 18040747 42592 138888 0.24 0.77 0 decreasing tax
non-maori female 88853910 88853910 26387 93657 0.03 0.11 0 decreasing tax
maori male 17042554 17042554 26541 86197 0.16 0.51 0 decreasing tax
non-maori male 84196704 84196704 32089 108083 0.04 0.13 0 decreasing tax
All All 208133915 208133915 159561 563966 0.08 0.27 0 decreasing tfg
maori All 35083302 35083302 99932 325801 0.28 0.93 0 decreasing tfg
non-maori All 173050614 173050614 59720 238334 0.03 0.14 0 decreasing tfg
maori female 18040747 18040747 58303 197900 0.32 1.1 0 decreasing tfg
non-maori female 88853910 88853910 26250 109811 0.03 0.12 0 decreasing tfg
maori male 17042554 17042554 41329 127209 0.24 0.75 0 decreasing tfg
non-maori male 84196704 84196704 33468 128170 0.04 0.15 0 decreasing tfg
All All 208133915 208133915 2693518 3465246 1.29 1.66 20 constant erad
maori All 35083302 35083302 1024858 1329432 2.92 3.79 20 constant erad
non-maori All 173050614 173050614 1671094 2137778 0.97 1.24 20 constant erad
maori female 18040747 18040747 633573 822051 3.51 4.56 20 constant erad
non-maori female 88853910 88853910 780275 1013632 0.88 1.14 20 constant erad
maori male 17042554 17042554 390724 509325 2.29 2.99 20 constant erad
non-maori male 84196704 84196704 887830 1122062 1.05 1.33 20 constant erad
All All 208133915 208133915 405957 900978 0.2 0.43 20 constant tax
maori All 35083302 35083302 187896 432474 0.54 1.23 20 constant tax
non-maori All 173050614 173050614 216355 476422 0.13 0.28 20 constant tax
maori female 18040747 18040747 115333 265768 0.64 1.47 20 constant tax
non-maori female 88853910 88853910 102923 228296 0.12 0.26 20 constant tax
maori male 17042554 17042554 71606 167932 0.42 0.99 20 constant tax
non-maori male 84196704 84196704 112764 248251 0.13 0.29 20 constant tax
All All 208133915 208133915 877025 1407409 0.42 0.68 20 constant tfg
maori All 35083302 35083302 440255 677714 1.25 1.93 20 constant tfg
non-maori All 173050614 173050614 436753 728358 0.25 0.42 20 constant tfg
maori female 18040747 18040747 273556 411650 1.52 2.28 20 constant tfg
non-maori female 88853910 88853910 213122 350676 0.24 0.39 20 constant tfg
maori male 17042554 17042554 168480 268225 0.99 1.57 20 constant tfg
non-maori male 84196704 84196704 220864 377375 0.26 0.45 20 constant tfg
All All 208133915 208133915 976461 1818974 0.47 0.87 20 decreasing erad
maori All 35083302 35083302 406099 745014 1.16 2.12 20 decreasing erad
non-maori All 173050614 173050614 566830 1069453 0.33 0.62 20 decreasing erad
maori female 18040747 18040747 245227 458804 1.36 2.54 20 decreasing erad
non-maori female 88853910 88853910 254963 494941 0.29 0.56 20 decreasing erad
maori male 17042554 17042554 161249 289674 0.95 1.7 20 decreasing erad
non-maori male 84196704 84196704 313823 578526 0.37 0.69 20 decreasing erad
All All 208133915 208133915 134311 395617 0.06 0.19 20 decreasing tax
maori All 35083302 35083302 69349 209335 0.2 0.6 20 decreasing tax
non-maori All 173050614 173050614 60688 192151 0.04 0.11 20 decreasing tax
maori female 18040747 18040747 41374 126706 0.23 0.7 20 decreasing tax
non-maori female 88853910 88853910 26798 88303 0.03 0.1 20 decreasing tax
maori male 17042554 17042554 28457 82969 0.17 0.49 20 decreasing tax
non-maori male 84196704 84196704 33959 104313 0.04 0.12 20 decreasing tax
All All 208133915 208133915 230529 622888 0.11 0.3 20 decreasing tfg
maori All 35083302 35083302 137269 338290 0.39 0.96 20 decreasing tfg
non-maori All 173050614 173050614 93838 282987 0.05 0.16 20 decreasing tfg
maori female 18040747 18040747 80199 202823 0.44 1.12 20 decreasing tfg
non-maori female 88853910 88853910 41295 129797 0.05 0.15 20 decreasing tfg
maori male 17042554 17042554 57077 135689 0.33 0.8 20 decreasing tfg
non-maori male 84196704 84196704 52758 153014 0.06 0.18 20 decreasing tfg
